competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48330013,2024-03-16T16:00:00+00:00,sr:competitor:1033945,Buchis,sr:competitor:940129,FB Hurrican Karlovy Vary,6,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537071,2024-03-16T16:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:4161,SC Classic Tampere,4,8
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537067,2024-03-16T16:30:00+00:00,sr:competitor:282983,LASB Lahti,sr:competitor:4159,Oilers Espoo,4,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48285865,2024-03-16T17:00:00+00:00,sr:competitor:44611,Sokoli Pardubice,sr:competitor:630970,Black Angels Prague,8,4
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466957,2024-03-16T18:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:25902,Tatran Stresovice,6,13
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466965,2024-03-16T18:00:00+00:00,sr:competitor:44610,FbS Bohemians Prague,sr:competitor:37852,1. SC Vitkovice Ostrava,5,6
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466963,2024-03-16T18:30:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:44609,Florbal Mlada Boleslav,4,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537107,2024-03-17T13:00:00+00:00,sr:competitor:7984,TPS Turku,sr:competitor:65930,Westend Indians,3,2
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466975,2024-03-17T13:00:00+00:00,sr:competitor:44610,FbS Bohemians Prague,sr:competitor:37852,1. SC Vitkovice Ostrava,9,4
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466973,2024-03-17T14:00:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:44609,Florbal Mlada Boleslav,5,10
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537087,2024-03-17T15:00:00+00:00,sr:competitor:6584,SPV,sr:competitor:25241,Nokian KRP,6,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48285867,2024-03-17T16:00:00+00:00,sr:competitor:44611,Sokoli Pardubice,sr:competitor:630970,Black Angels Prague,3,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48330017,2024-03-17T16:00:00+00:00,sr:competitor:1033945,Buchis,sr:competitor:940129,FB Hurrican Karlovy Vary,4,9
