source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
extraliga,czech,2023-2024,FBC Liberec,Ondřej Čumpelík,7,0,0,0,2.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Tom Ondrušek,26,30,23,53,92.0,,26.0
extraliga,czech,2023-2024,Florbal Chodov,Marek Vávra,26,32,19,51,79.0,,42.0
extraliga,czech,2023-2024,Florbal Chodov,Mikuláš Komárek,25,26,21,47,80.0,,43.0
extraliga,czech,2023-2024,Florbal Chodov,Antonín Votava,26,10,15,25,57.0,,11.0
extraliga,czech,2023-2024,Florbal Chodov,Vojtěch Klápa,26,13,8,21,46.0,,4.0
extraliga,czech,2023-2024,Florbal Chodov,David Horký,26,9,12,21,27.0,,30.0
extraliga,czech,2023-2024,Florbal Chodov,Marek Matoušek,26,9,11,20,45.0,,33.0
extraliga,czech,2023-2024,Florbal Chodov,Jiří Bauer,24,6,12,18,50.0,,27.0
extraliga,czech,2023-2024,Florbal Chodov,Ondřej Vošta,24,12,5,17,46.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Tomáš Sýkora,23,3,13,16,19.0,,2.0
extraliga,czech,2023-2024,Florbal Chodov,Lukáš Kafka,21,10,4,14,30.0,,15.0
extraliga,czech,2023-2024,Florbal Chodov,Marek Šmíd,22,6,8,14,16.0,,4.0
extraliga,czech,2023-2024,Florbal Chodov,Daniel Eremiáš,26,9,3,12,46.0,,10.0
extraliga,czech,2023-2024,Florbal Chodov,Vojtěch Petráň,12,8,4,12,20.0,,16.0
extraliga,czech,2023-2024,Florbal Chodov,Milan Tichý,20,4,5,9,12.0,,14.0
extraliga,czech,2023-2024,Florbal Chodov,Radim Slunečko,24,3,5,8,17.0,,11.0
extraliga,czech,2023-2024,Florbal Chodov,Martin Skřivánek,20,1,7,8,20.0,,2.0
extraliga,czech,2023-2024,Florbal Chodov,Filip Kovářík,4,2,0,2,9.0,,0.0
extraliga,czech,2023-2024,Florbal Chodov,Matěj Netrefa,8,2,0,2,6.0,,1.0
extraliga,czech,2023-2024,Florbal Chodov,Jakub Dufek,19,1,1,2,8.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Matěj Jambor,11,1,0,1,6.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Matěj Kolář,2,0,1,1,1.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Matyáš Borek,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,Florbal Chodov,Adam Sláma,5,0,0,0,5.0,,-1.0
extraliga,czech,2023-2024,Florbal Chodov,Ondřej Štefek,3,0,0,0,1.0,,0.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Adam Delong,26,31,40,71,130.0,,67.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Milan Tomašík,24,32,26,58,105.0,,35.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Michal Sládek,26,25,32,57,76.0,,69.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Ronald Gašparík,26,25,25,50,72.0,,61.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jakub Bína,26,23,24,47,53.0,,57.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jakub Vařecha,25,26,17,43,74.0,,64.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jan Zoufalý,25,19,10,29,48.0,,52.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Patrik Suchánek,26,10,18,28,38.0,,33.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Lukáš Punčochář,25,18,9,27,43.0,,52.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jan Natov,14,15,11,26,45.0,,24.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Dominik Beneš,26,11,14,25,45.0,,61.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Daniel Šebek,26,12,11,23,39.0,,24.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jiří Besta,19,11,10,21,34.0,,40.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Martin Tokoš,25,11,9,20,41.0,,20.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jakub Gruber,26,9,10,19,34.0,,51.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Filip Zakonov,26,7,9,16,27.0,,37.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Petr Koláčný,13,8,1,9,22.0,,10.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Filip Bergman,19,4,3,7,15.0,,11.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Martin Feigl,16,4,2,6,11.0,,21.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jáchym Eliáš,14,1,2,3,3.0,,15.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jakub Šourek,3,2,0,2,4.0,,2.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Ondřej Duben,3,0,0,0,2.0,,1.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Miroslav Fořt,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,Florbal Mlada Boleslav,Jakub Seibert,2,0,0,0,1.0,,-1.0
extraliga,czech,2023-2024,Buchis,Jakub Černý,25,17,24,41,93.0,,-31.0
extraliga,czech,2023-2024,Buchis,Matyáš Kalina,23,12,19,31,59.0,,-28.0
extraliga,czech,2023-2024,Buchis,Štěpán Novák,25,14,12,26,66.0,,-22.0
extraliga,czech,2023-2024,Buchis,Jan Waldhauser,26,10,5,15,41.0,,-27.0
extraliga,czech,2023-2024,Buchis,Tomáš Vondruška,23,10,4,14,40.0,,-25.0
extraliga,czech,2023-2024,Buchis,Petr Novotný,26,9,5,14,30.0,,-16.0
extraliga,czech,2023-2024,Buchis,Šimon Pavlíček,19,9,4,13,27.0,,-7.0
extraliga,czech,2023-2024,Buchis,Erik Papež,26,7,6,13,57.0,,-24.0
extraliga,czech,2023-2024,Buchis,Jakub Pecha,8,8,2,10,20.0,,-13.0
extraliga,czech,2023-2024,Buchis,Štěpán Čejka,24,0,10,10,20.0,,-23.0
extraliga,czech,2023-2024,Buchis,Jan Novotný,25,6,3,9,27.0,,-20.0
extraliga,czech,2023-2024,Buchis,David Veleba,19,6,1,7,23.0,,-13.0
extraliga,czech,2023-2024,Buchis,Kryštof Maňour,24,4,2,6,20.0,,-24.0
extraliga,czech,2023-2024,Buchis,Michael Petráň,13,4,1,5,14.0,,-22.0
extraliga,czech,2023-2024,Buchis,Adam Drastich,23,2,3,5,13.0,,-29.0
extraliga,czech,2023-2024,Buchis,Antonín Šubrt,26,0,4,4,10.0,,-23.0
extraliga,czech,2023-2024,Buchis,Michal Václavík,22,2,1,3,4.0,,-23.0
extraliga,czech,2023-2024,Buchis,Jakub Švelbl,15,0,3,3,10.0,,-7.0
extraliga,czech,2023-2024,Buchis,Michal Svoboda,21,1,1,2,3.0,,-20.0
extraliga,czech,2023-2024,Buchis,Jan Wald,25,0,1,1,10.0,,-20.0
extraliga,czech,2023-2024,Buchis,Matyáš Bóday,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,Buchis,Dominik Regner,14,0,0,0,2.0,,-2.0
extraliga,czech,2023-2024,Buchis,Filip Černý,2,0,0,0,0.0,,-2.0
extraliga,czech,2023-2024,Buchis,Matěj Štrobach,8,0,0,0,0.0,,-3.0
extraliga,czech,2023-2024,FBC Ostrava,Lukáš Pešat,26,14,15,29,56.0,,-17.0
extraliga,czech,2023-2024,FBC Ostrava,Daniel Chatrný,24,19,8,27,61.0,,-7.0
extraliga,czech,2023-2024,FBC Ostrava,Marek Bräuer,26,14,9,23,79.0,,-37.0
extraliga,czech,2023-2024,FBC Ostrava,Lukáš Herblich,26,12,8,20,34.0,,-6.0
extraliga,czech,2023-2024,FBC Ostrava,Šimon Kuczera,23,7,10,17,34.0,,-5.0
extraliga,czech,2023-2024,FBC Ostrava,Lukáš Kučera,23,10,4,14,36.0,,-18.0
extraliga,czech,2023-2024,FBC Ostrava,Lukáš Pobořil,21,5,7,12,35.0,,-11.0
extraliga,czech,2023-2024,FBC Ostrava,Jan Daniš,26,2,10,12,12.0,,-23.0
extraliga,czech,2023-2024,FBC Ostrava,Adam Mikoláš,24,4,5,9,18.0,,-12.0
extraliga,czech,2023-2024,FBC Ostrava,Martin Šulc,24,6,2,8,28.0,,-23.0
extraliga,czech,2023-2024,FBC Ostrava,Patrik Němec,26,3,5,8,22.0,,3.0
extraliga,czech,2023-2024,FBC Ostrava,Jakub Košarišťan,26,4,3,7,24.0,,-10.0
extraliga,czech,2023-2024,FBC Ostrava,Richard Pum,22,3,2,5,7.0,,-3.0
extraliga,czech,2023-2024,FBC Ostrava,Filip Šubert,25,3,2,5,29.0,,-29.0
extraliga,czech,2023-2024,FBC Ostrava,Marcel Jakubec,26,1,3,4,19.0,,-22.0
extraliga,czech,2023-2024,FBC Ostrava,David Friedel,25,2,1,3,8.0,,-7.0
extraliga,czech,2023-2024,FBC Ostrava,Matěj Sedláček,11,1,1,2,4.0,,-3.0
extraliga,czech,2023-2024,FBC Ostrava,Vojtěch Murín,12,0,2,2,4.0,,-4.0
extraliga,czech,2023-2024,FBC Ostrava,Tomáš Hodulík,8,0,0,0,0.0,,-1.0
extraliga,czech,2023-2024,FBC Ostrava,Daniel Prašivka,5,0,0,0,3.0,,-3.0
extraliga,czech,2023-2024,FBC Ostrava,Martin Tomek,9,0,0,0,0.0,,-3.0
extraliga,czech,2023-2024,FBC Ostrava,Filip Turoň,10,0,0,0,2.0,,-5.0
extraliga,czech,2023-2024,Black Angels Prague,Matouš Burian,25,17,11,28,64.0,,-30.0
extraliga,czech,2023-2024,Black Angels Prague,Jakub Renčín,23,9,19,28,43.0,,2.0
extraliga,czech,2023-2024,Black Angels Prague,Jakub Hromada,24,17,10,27,58.0,,-9.0
extraliga,czech,2023-2024,Black Angels Prague,Vilém Doležal,24,14,11,25,48.0,,-13.0
