competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff,target_home_win
sr:competition:829,czech,Extraliga 23/24,11,4,-7,3,9,-6,4,3,-11,32,-43,0.75,3.0,-2.25,4.25,7.0,14.0,3.333333333333333,0.0,0.0,2023-2024,2022-2023,,165.27208695652172,,0
sr:competition:306,finland,F-Liiga 23/24,6,3,-3,9,9,0,4,4,3,10,-7,2.25,2.25,0.0,6.5,5.75,8.25,5.75,1.5,3.0,2023-2024,2022-2023,123.75691699604742,38.00846394984326,85.74845304620416,1
sr:competition:255,sweden,Svenska Superligan 23/24,14,3,-11,0,6,-6,2,2,-10,6,-16,0.0,3.0,-3.0,3.5,8.5,6.0,3.0,0.0,3.0,2023-2024,2022-2023,161.6590769230769,169.12153846153848,-7.462461538461582,0
sr:competition:829,czech,Extraliga 23/24,10,8,-2,3,6,-3,4,4,-1,-1,0,0.75,1.5,-0.75,6.5,6.75,7.0,7.25,0.0,3.0,2023-2024,2022-2023,139.26107692307693,197.8203076923077,-58.559230769230766,1
sr:competition:255,sweden,Svenska Superligan 23/24,7,14,7,3,0,3,3,3,1,-17,18,1.0,0.0,1.0,8.0,7.666666666666667,2.6666666666666665,8.333333333333334,3.0,0.0,2023-2024,2022-2023,138.14572352285396,161.6590769230769,-23.51335340022294,1
sr:competition:829,czech,Extraliga 23/24,7,2,-5,6,12,-6,4,4,11,42,-31,1.5,3.0,-1.5,7.5,4.75,14.25,3.75,1.0,3.0,2023-2024,2022-2023,,165.27208695652172,,0
sr:competition:306,finland,F-Liiga 23/24,7,2,-5,6,12,-6,2,5,2,5,-3,3.0,2.4,0.6000000000000001,5.5,4.5,6.2,5.2,3.0,3.0,2023-2024,2022-2023,81.62211990595611,123.75691699604742,-42.13479709009131,0
sr:competition:306,finland,F-Liiga 23/24,6,3,-3,9,9,0,5,5,5,11,-6,1.8,1.8,0.0,5.8,4.8,7.6,5.4,2.0,2.0,2023-2024,2022-2023,157.5568831168831,169.30794721407625,-11.751064097193137,0
sr:competition:306,finland,F-Liiga 23/24,4,9,5,9,3,6,5,5,8,-5,13,1.8,0.6,1.2000000000000002,7.2,5.6,5.0,6.0,2.0,0.0,2023-2024,2022-2023,38.00846394984326,121.15511363636362,-83.14664968652036,1
sr:competition:306,finland,F-Liiga 23/24,2,10,8,12,3,9,5,4,19,-9,28,2.4,0.75,1.65,7.4,3.6,3.5,5.75,3.0,0.0,2023-2024,2022-2023,125.07296851574212,64.15576298701298,60.91720552872914,1
sr:competition:306,finland,F-Liiga 23/24,7,12,5,6,0,6,5,5,-1,-28,27,1.2,0.0,1.2,4.8,5.0,3.4,9.0,2.0,0.0,2023-2024,2022-2023,110.4778432601881,34.95909090909091,75.51875235109719,1
sr:competition:255,sweden,Svenska Superligan 23/24,1,2,1,9,9,0,3,3,13,6,7,3.0,3.0,0.0,6.666666666666667,2.333333333333333,6.333333333333333,4.333333333333333,3.0,3.0,2023-2024,2022-2023,169.12153846153848,192.0868260869565,-22.96528762541803,0
sr:competition:255,sweden,Svenska Superligan 23/24,11,10,-1,3,3,0,3,3,-4,-3,-1,1.0,1.0,0.0,5.333333333333333,6.666666666666667,4.666666666666667,5.666666666666667,0.0,0.0,2023-2024,2022-2023,137.90596655518394,137.75830769230768,0.14765886287625563,1
sr:competition:306,finland,F-Liiga 23/24,10,9,-1,3,3,0,5,6,-14,-7,-7,0.6,0.0,0.6,3.4,6.2,4.0,6.0,1.5,0.0,2023-2024,2022-2023,64.15576298701298,121.15511363636362,-56.999350649350646,0
sr:competition:306,finland,F-Liiga 23/24,6,5,-1,9,9,0,3,6,8,12,-4,3.0,1.8,1.2,6.0,3.333333333333333,6.8,3.8,3.0,0.0,2023-2024,2022-2023,112.17115102639296,110.4778432601881,1.6933077662048674,0
sr:competition:255,sweden,Svenska Superligan 23/24,9,6,-3,3,6,-3,3,3,0,4,-4,1.0,2.0,-1.0,5.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,3.0,0.0,2023-2024,2022-2023,141.41000000000005,136.64397993311036,4.766020066889695,1
sr:competition:255,sweden,Svenska Superligan 23/24,4,12,8,6,3,3,3,3,7,-6,13,2.0,1.0,1.0,5.666666666666667,3.333333333333333,3.6666666666666665,5.666666666666667,0.0,0.0,2023-2024,2022-2023,168.7760859140859,,,1
sr:competition:829,czech,Extraliga 23/24,13,3,-10,3,12,-9,5,5,-26,18,-44,0.6,2.4,-1.7999999999999998,4.8,10.0,7.2,3.6,1.5,3.0,2023-2024,2022-2023,140.3943110367893,197.77530769230768,-57.38099665551837,1
sr:competition:829,czech,Extraliga 23/24,2,10,8,15,6,9,5,5,22,-2,24,3.0,1.2,1.8,9.4,5.0,6.8,7.2,3.0,1.5,2023-2024,2022-2023,172.93434065934065,197.8203076923077,-24.885967032967045,1
sr:competition:829,czech,Extraliga 23/24,4,13,9,12,3,9,5,5,5,-21,26,2.4,0.6,1.7999999999999998,8.0,7.0,4.4,8.6,3.0,1.0,2023-2024,2022-2023,129.17692307692306,,,1
sr:competition:829,czech,Extraliga 23/24,2,9,7,15,6,9,5,5,44,-1,45,3.0,1.2,1.8,12.6,3.8,4.2,4.4,3.0,1.5,2023-2024,2022-2023,165.27208695652172,148.42176923076923,16.85031772575249,1
sr:competition:255,sweden,Svenska Superligan 23/24,7,12,5,6,3,3,3,3,2,-7,9,2.0,1.0,1.0,5.0,4.333333333333333,5.333333333333333,7.666666666666667,3.0,0.0,2023-2024,2022-2023,155.30446153846154,123.08384615384615,32.220615384615385,1
sr:competition:255,sweden,Svenska Superligan 23/24,7,10,3,6,3,3,3,3,5,-1,6,2.0,1.0,1.0,6.333333333333333,4.666666666666667,5.0,5.333333333333333,3.0,0.0,2023-2024,2022-2023,170.55676588628762,,,1
sr:competition:306,finland,F-Liiga 23/24,10,9,-1,3,6,-3,5,3,-15,-3,-12,0.6,2.0,-1.4,4.2,7.2,5.333333333333333,6.333333333333333,0.0,3.0,2023-2024,2022-2023,109.79741935483872,81.62211990595611,28.175299448882612,1
sr:competition:829,czech,Extraliga 23/24,5,12,7,9,3,6,5,5,-5,-18,13,1.8,0.6,1.2000000000000002,4.4,5.4,4.0,7.6,3.0,1.0,2023-2024,2022-2023,134.34259149546105,108.59916746411484,25.74342403134621,1
sr:competition:829,czech,Extraliga 23/24,7,14,7,6,0,6,5,5,9,-18,27,1.2,0.0,1.2,6.8,5.0,5.6,9.2,0.75,0.0,2023-2024,2022-2023,,84.13671328671327,,1
