competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:306,finland,F-Liiga 23/24,6,4,-2,12,15,-3,6,7,5,15,-10,1.8,1.8,0.0,5.2,4.6,6.4,4.2,2.25,1.5,0
sr:competition:306,finland,F-Liiga 23/24,11,3,-8,3,18,-15,6,7,-27,12,-39,0.6,3.0,-2.4,3.2,8.2,8.2,4.8,1.0,3.0,0
sr:competition:306,finland,F-Liiga 23/24,8,2,-6,9,18,-9,8,7,13,30,-17,1.2,2.4,-1.2,7.0,4.4,8.0,3.6,2.0,2.25,1
sr:competition:829,czech,Extraliga 23/24,5,6,1,12,12,0,6,6,17,-4,21,1.8,1.8,0.0,5.2,3.6,4.4,5.4,1.5,1.0,1
sr:competition:829,czech,Extraliga 23/24,14,11,-3,0,6,-6,6,6,-26,-25,-1,0.0,1.2,-1.2,5.4,10.4,4.8,7.4,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,8,1,-7,9,18,-9,6,6,4,56,-52,1.8,3.0,-1.2,6.6,4.8,12.2,3.4,1.0,3.0,1
sr:competition:306,finland,F-Liiga 23/24,10,6,-4,6,12,-6,5,8,-10,10,-20,1.2,1.8,-0.6000000000000001,5.0,7.0,6.8,4.0,1.5,0.75,0
sr:competition:306,finland,F-Liiga 23/24,5,11,6,15,3,12,9,7,14,-31,45,2.4,0.6,1.7999999999999998,7.2,3.4,3.8,8.4,2.25,0.0,1
sr:competition:306,finland,F-Liiga 23/24,8,4,-4,12,18,-6,8,8,-1,19,-20,1.8,1.8,0.0,5.6,5.8,6.0,4.4,1.8,2.0,1
sr:competition:306,finland,F-Liiga 23/24,8,12,4,12,0,12,7,7,1,-48,49,1.2,0.0,1.2,4.2,5.4,3.0,11.0,1.8,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,2,3,1,12,12,0,5,5,16,14,2,2.4,2.4,0.0,6.0,2.8,6.4,3.6,1.5,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,7,11,4,6,6,0,5,5,3,-10,13,1.2,1.2,0.0,7.2,6.6,4.6,6.6,3.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,5,3,-2,9,12,-3,5,5,10,13,-3,1.8,2.4,-0.5999999999999999,7.0,5.0,6.6,4.0,3.0,1.5,1
sr:competition:255,czech,Svenska Superligan 23/24,8,14,6,6,0,6,5,5,-3,-24,21,1.2,0.0,1.2,5.4,6.0,3.2,8.0,1.5,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,2,12,10,15,6,9,5,5,10,-13,23,3.0,1.2,1.8,6.0,4.0,5.8,8.4,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,5,1,-4,15,21,-6,8,8,18,16,2,1.8,3.0,-1.2,6.0,4.4,8.6,4.8,1.5,3.0,1
sr:competition:306,finland,F-Liiga 23/24,8,10,2,12,6,6,9,6,15,-14,29,1.8,0.6,1.2000000000000002,7.6,4.4,4.4,7.4,2.25,1.0,1
sr:competition:306,finland,F-Liiga 23/24,9,3,-6,9,18,-9,9,8,-17,28,-45,1.2,2.4,-1.2,5.2,5.8,8.0,3.8,2.0,1.8,1
sr:competition:829,czech,Extraliga 23/24,10,8,-2,9,12,-3,7,7,-20,-13,-7,1.8,1.2,0.6000000000000001,5.0,6.0,3.2,6.4,2.0,0.75,1
sr:competition:829,czech,Extraliga 23/24,1,2,1,18,18,0,7,7,54,22,32,2.4,2.4,0.0,10.0,4.0,7.8,5.0,3.0,3.0,0
sr:competition:255,czech,Svenska Superligan 23/24,8,7,-1,6,6,0,5,5,-4,6,-10,1.2,1.2,0.0,6.6,7.4,6.8,5.6,1.5,0.0,0
sr:competition:306,finland,F-Liiga 23/24,12,10,-2,0,6,-6,8,7,-55,-22,-33,0.0,0.0,0.0,3.0,11.8,3.6,8.4,0.0,0.75,0
sr:competition:306,finland,F-Liiga 23/24,7,3,-4,15,18,-3,8,9,8,26,-18,1.2,1.8,-0.6000000000000001,5.4,5.4,7.8,4.2,1.8,1.2,0
