competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:306,finland,F-Liiga 23/24,6,3,-3,9,9,0,5,5,5,11,-6,1.8,1.8,0.0,5.8,4.8,7.6,5.4,2.0,2.0,0
sr:competition:306,finland,F-Liiga 23/24,4,9,5,9,3,6,5,5,8,-5,13,1.8,0.6,1.2000000000000002,7.2,5.6,5.0,6.0,2.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,2,10,8,12,3,9,5,4,19,-9,28,2.4,0.75,1.65,7.4,3.6,3.5,5.75,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,7,12,5,6,0,6,5,5,-1,-28,27,1.2,0.0,1.2,4.8,5.0,3.4,9.0,2.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,1,2,1,9,9,0,3,3,13,6,7,3.0,3.0,0.0,6.666666666666667,2.3333333333333335,6.333333333333333,4.333333333333333,3.0,3.0,0
sr:competition:255,czech,Svenska Superligan 23/24,11,10,-1,3,3,0,3,3,-4,-3,-1,1.0,1.0,0.0,5.333333333333333,6.666666666666667,4.666666666666667,5.666666666666667,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,10,9,-1,3,3,0,5,6,-14,-7,-7,0.6,0.0,0.6,3.4,6.2,4.0,6.0,1.5,0.0,0
sr:competition:306,finland,F-Liiga 23/24,6,5,-1,9,9,0,3,6,8,12,-4,3.0,1.8,1.2,6.0,3.3333333333333335,6.8,3.8,3.0,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,9,6,-3,3,6,-3,3,3,0,4,-4,1.0,2.0,-1.0,5.666666666666667,5.666666666666667,8.666666666666666,7.333333333333333,3.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,4,12,8,6,3,3,3,3,7,-6,13,2.0,1.0,1.0,5.666666666666667,3.3333333333333335,3.6666666666666665,5.666666666666667,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,13,3,-10,3,12,-9,5,5,-26,18,-44,0.6,2.4,-1.7999999999999998,4.8,10.0,7.2,3.6,1.5,3.0,1
sr:competition:829,czech,Extraliga 23/24,2,10,8,15,6,9,5,5,22,-2,24,3.0,1.2,1.8,9.4,5.0,6.8,7.2,3.0,1.5,1
sr:competition:829,czech,Extraliga 23/24,4,13,9,12,3,9,5,5,5,-21,26,2.4,0.6,1.7999999999999998,8.0,7.0,4.4,8.6,3.0,1.0,1
sr:competition:829,czech,Extraliga 23/24,2,9,7,15,6,9,5,5,44,-1,45,3.0,1.2,1.8,12.6,3.8,4.2,4.4,3.0,1.5,1
sr:competition:255,czech,Svenska Superligan 23/24,7,12,5,6,3,3,3,3,2,-7,9,2.0,1.0,1.0,5.0,4.333333333333333,5.333333333333333,7.666666666666667,3.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,7,10,3,6,3,3,3,3,5,-1,6,2.0,1.0,1.0,6.333333333333333,4.666666666666667,5.0,5.333333333333333,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,10,9,-1,3,6,-3,5,3,-15,-3,-12,0.6,2.0,-1.4,4.2,7.2,5.333333333333333,6.333333333333333,0.0,3.0,1
sr:competition:829,czech,Extraliga 23/24,5,12,7,9,3,6,5,5,-5,-18,13,1.8,0.6,1.2000000000000002,4.4,5.4,4.0,7.6,3.0,1.0,1
sr:competition:829,czech,Extraliga 23/24,7,14,7,6,0,6,5,5,9,-18,27,1.2,0.0,1.2,6.8,5.0,5.6,9.2,0.75,0.0,1
sr:competition:829,czech,Extraliga 23/24,7,8,1,9,6,3,5,5,-7,0,-7,1.8,1.2,0.6000000000000001,4.0,5.4,6.6,6.6,1.5,1.5,0
sr:competition:306,finland,F-Liiga 23/24,4,6,2,12,9,3,6,4,13,5,8,1.8,2.25,-0.44999999999999996,6.8,5.4,4.75,3.5,1.5,0.0,0
