source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2024/2025,Storvreta IBK,Måns Parsjö,25,0,1,1,,2,
ssl,sweden,2024/2025,Storvreta IBK,Emil Mattsson,24,0,1,1,,4,
ssl,sweden,2024/2025,Nykvarns IBF,Benjamin Lindskog,17,0,0,0,,0,
ssl,sweden,2024/2025,Växjö Vipers,Alexander Vestman,1,0,0,0,,0,
ssl,sweden,2024/2025,Jönköpings IK,Isac Holmer,3,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Felix Andersson,5,0,0,0,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Max Antonsson,1,0,0,0,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Jonathan Larsson,20,0,0,0,,0,
ssl,sweden,2024/2025,FC Helsingborg,Jonathan Edling,2,0,0,0,,0,
ssl,sweden,2024/2025,AIK IBF,Martin Wallberg,1,0,0,0,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Jesper Ahrén,9,0,0,0,,0,
ssl,sweden,2024/2025,Växjö Vipers,Amadeus Carlström,17,0,0,0,,0,
ssl,sweden,2024/2025,Linköping IBK,Andreas Blom,2,0,0,0,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Thomas Crona,26,0,0,0,,0,
ssl,sweden,2024/2025,Pixbo IBK,Elmer Arne,5,0,0,0,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Laban Blomkvist,17,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Erik Söderström,21,0,0,0,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Hugo Hellgren,1,0,0,0,,0,
ssl,sweden,2024/2025,Jönköpings IK,Ludvig Dahlin,9,0,0,0,,0,
ssl,sweden,2024/2025,Pixbo IBK,Gustav Ringhagen,24,0,0,0,,0,
ssl,sweden,2024/2025,Växjö Vipers,Hannes Christiansen,20,0,0,0,,0,
ssl,sweden,2024/2025,IBF Falun,Dennis Widarsson,1,0,0,0,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Isak Dorell,5,0,0,0,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Otto Rylander,7,0,0,0,,0,
ssl,sweden,2024/2025,FC Helsingborg,Jonathan Nilsson,26,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Alexander Ljungström,25,0,0,0,,0,
ssl,sweden,2024/2025,IBF Falun,Erik Åkerblom,1,0,0,0,,0,
ssl,sweden,2024/2025,AIK IBF,Gabriel Barragan,8,0,0,0,,0,
ssl,sweden,2024/2025,AIK IBF,Nicklas Larsson,25,0,0,0,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Valdemar Ahlroth,3,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Anton Wikner,16,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Vilmer Åsenstam,19,0,0,0,,0,
ssl,sweden,2024/2025,Jönköpings IK,Alexander Gustafsson,1,0,0,0,,0,
ssl,sweden,2024/2025,Storvreta IBK,Emil Lindblom,4,0,0,0,,0,
ssl,sweden,2024/2025,Linköping IBK,Timmy Lindkvist,24,0,0,0,,0,
ssl,sweden,2024/2025,IBK Dalen,Anton Grönlund,26,0,0,0,,0,
ssl,sweden,2024/2025,Jönköpings IK,Elliot Johansson,5,0,0,0,,0,
ssl,sweden,2024/2025,Jönköpings IK,Oliver Staiger,5,0,0,0,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Viktor Hägg,1,0,0,0,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Jesper Lindström,1,0,0,0,,0,
ssl,sweden,2024/2025,Warberg IC,William Nordin,11,0,0,0,,0,
ssl,sweden,2024/2025,AIK IBF,Kevin Lieback Asp,12,0,0,0,,0,
ssl,sweden,2024/2025,IBF Falun,David Johansson,1,0,0,0,,0,
ssl,sweden,2024/2025,Linköping IBK,Gustav Jansson,25,0,0,0,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Jöns Redin,3,0,0,0,,0,
ssl,sweden,2024/2025,FC Helsingborg,Livio Blixt,9,0,0,0,,0,
ssl,sweden,2024/2025,FC Helsingborg,Ville Elgström Persson,1,0,0,0,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Pontus Zarins,26,0,0,0,,0,
ssl,sweden,2024/2025,Växjö Vipers,Noel Johansson,2,0,0,0,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Samuel Jönsson Dolke,26,0,0,0,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Arvid Bergström,5,0,0,0,,0,
ssl,sweden,2024/2025,Pixbo IBK,Jon Hedlund,26,0,0,0,,0,
ssl,sweden,2024/2025,Warberg IC,Oskar Petersson,1,0,0,0,,0,
ssl,sweden,2024/2025,Warberg IC,Olle Jonsson,25,0,0,0,,0,
