competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:4159,Oilers Espoo,2,76,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:25241,Nokian KRP,3,72,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:65930,Westend Indians,4,69,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:6584,SPV,5,66,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:7984,TPS Turku,6,58,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:4158,Happee Jyvaskyla,7,51,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:224502,EraViikingit,8,35,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:322573,Nurmon Jymy,9,27,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:940309,FBC Turku,10,25,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:4165,OLS Oulu,11,21,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:282983,LASB Lahti,12,15,33,,,f-liiga 24/25 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:4161,SC Classic Tampere,1,81,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:25241,Nokian KRP,2,77,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:4159,Oilers Espoo,3,76,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:6584,SPV,4,73,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:65930,Westend Indians,5,56,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:4165,OLS Oulu,6,47,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:7984,TPS Turku,7,47,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:224502,EraViikingit,8,40,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:1000507,Hawks Helsinki,9,38,32,,,f-liiga 25/26 regular season league
sr:competition:306,sr:season:132108,F-Liiga 25/26,sr:competitor:322573,Nurmon Jymy,10,20,32,,,f-liiga 25/26 regular season league
