competition_id,competition_name,season_id,season_name,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47919073,2024-03-09T16:00:00+00:00,sr:competitor:7994,UHC Uster,sr:competitor:557142,Unihockey Basel Regio,6,4
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918577,2024-03-09T17:00:00+00:00,sr:competitor:7987,Floorball Koniz,sr:competitor:7988,Grasshopper Club Zurich,4,10
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48444271,2024-03-09T17:00:00+00:00,sr:competitor:44608,FBC Ostrava,sr:competitor:331853,FBC Ceska Lipa,3,5
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48330009,2024-03-09T17:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:1033945,Buchis,4,2
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48285861,2024-03-09T17:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,6,7
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48425051,2024-03-09T17:00:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:173258,Sokol Kral Vinohrady,7,3
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918913,2024-03-09T18:00:00+00:00,sr:competitor:7986,Chur Unihockey,sr:competitor:22049,UHC Waldkirch-St. Gallen,6,5
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350513,2024-03-10T14:00:00+00:00,sr:competitor:4174,IBK Slevik,sr:competitor:7996,Harstad IBK,9,2
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48330011,2024-03-10T15:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:1033945,Buchis,5,0
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623663,2024-03-10T15:00:00+00:00,sr:competitor:118116,Thorengruppen SK,sr:competitor:4138,Pixbo Wallenstam,6,8
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623665,2024-03-10T15:00:00+00:00,sr:competitor:4142,AIK Innebandy,sr:competitor:118114,FBC Kalmarsund,4,13
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623667,2024-03-10T15:30:00+00:00,sr:competitor:34558,Vaxjo IBK,sr:competitor:4143,Jonkopings IK,7,2
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:48287485,2024-03-10T16:00:00+00:00,sr:competitor:557142,Unihockey Basel Regio,sr:competitor:7994,UHC Uster,2,5
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623669,2024-03-10T16:00:00+00:00,sr:competitor:610450,Nykvarns IBF Ungdom,sr:competitor:24122,Mullsjo AIS,3,8
